Agent,Allow,Disallow
Twitterbot,NA,/sharer/
Yandex,/ajax/bootloader-endpoint/,/ajax/
Yandex,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
Yandex,/safetycheck/,/checkpoint/
Yandex,NA,/contact_importer/
Yandex,NA,/dialog/
Yandex,NA,/fbml/ajax/dialog/
Yandex,NA,/feeds/
Yandex,NA,/file_download.php
Yandex,NA,/hashtag/
Yandex,NA,/l.php
Yandex,NA,/live/
Yandex,NA,/moments_app/
Yandex,NA,/p.php
Yandex,NA,/photo.php
Yandex,NA,/photos.php
Yandex,NA,/share.php
Yandex,NA,/share/
Yandex,NA,/sharer.php
Yandex,NA,/sharer/
Yeti,/ajax/bootloader-endpoint/,/ajax/
Yeti,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
Yeti,/safetycheck/,/checkpoint/
Yeti,NA,/contact_importer/
Yeti,NA,/dialog/
Yeti,NA,/fbml/ajax/dialog/
Yeti,NA,/feeds/
Yeti,NA,/file_download.php
Yeti,NA,/hashtag/
Yeti,NA,/l.php
Yeti,NA,/live/
Yeti,NA,/moments_app/
Yeti,NA,/p.php
Yeti,NA,/photo.php
Yeti,NA,/photos.php
Yeti,NA,/share.php
Yeti,NA,/share/
Yeti,NA,/sharer.php
Yeti,NA,/sharer/
*,NA,/
